Material: 316 Stainless Steel
Tension Test Strain Rate: 0.001/s
Gauge Length (postn): Lo = 50.80 mm
Initial Diamter: Do = 6.35 mm
Disp.(mm)	Force(kN)
8.607402e+000	1.666269e+001
8.615058e+000	1.666621e+001
8.632011e+000	1.666992e+001
8.643496e+000	1.668047e+001
8.655800e+000	1.668750e+001
8.667695e+000	1.669824e+001
8.680820e+000	1.670176e+001
8.694082e+000	1.670605e+001
8.708164e+000	1.671367e+001
8.717050e+000	1.672363e+001
8.732500e+000	1.672832e+001
8.745488e+000	1.673906e+001
8.756699e+000	1.675020e+001
8.770371e+000	1.674590e+001
8.785820e+000	1.675840e+001
8.797441e+000	1.676484e+001
8.808242e+000	1.677070e+001
8.821230e+000	1.677988e+001
8.830390e+000	1.678613e+001
8.844335e+000	1.679277e+001
8.859648e+000	1.680391e+001
8.871406e+000	1.680410e+001
8.883027e+000	1.681348e+001
8.900390e+000	1.681758e+001
8.908320e+000	1.682520e+001
8.915703e+000	1.682930e+001
8.928964e+000	1.683984e+001
8.940312e+000	1.684961e+001
8.954257e+000	1.685078e+001
8.966562e+000	1.685684e+001
8.980507e+000	1.686738e+001
8.990898e+000	1.687246e+001
9.008398e+000	1.687871e+001
9.021250e+000	1.688672e+001
9.030683e+000	1.690078e+001
9.044355e+000	1.690586e+001
9.054062e+000	1.691406e+001
9.070195e+000	1.691504e+001
9.083730e+000	1.692461e+001
9.093847e+000	1.692832e+001
9.108476e+000	1.693262e+001
9.121328e+000	1.693906e+001
9.133769e+000	1.694648e+001
9.146757e+000	1.695215e+001
9.157832e+000	1.695898e+001
9.171093e+000	1.696270e+001
9.183535e+000	1.697539e+001
9.197343e+000	1.697969e+001
9.210468e+000	1.697891e+001
9.224687e+000	1.698730e+001
9.236445e+000	1.699531e+001
9.246289e+000	1.700098e+001
9.257773e+000	1.700879e+001
9.273496e+000	1.701231e+001
9.284023e+000	1.702207e+001
9.301523e+000	1.702578e+001
9.309042e+000	1.703516e+001
9.323261e+000	1.704434e+001
9.340761e+000	1.704668e+001
9.347460e+000	1.705781e+001
9.359765e+000	1.705996e+001
9.371796e+000	1.707031e+001
9.387929e+000	1.707012e+001
9.398730e+000	1.707813e+001
9.409941e+000	1.708496e+001
9.427168e+000	1.709121e+001
9.434960e+000	1.709375e+001
9.447949e+000	1.710625e+001
9.460937e+000	1.711211e+001
9.471601e+000	1.711660e+001
9.487187e+000	1.712422e+001
9.499902e+000	1.713496e+001
9.516445e+000	1.713711e+001
9.528476e+000	1.714277e+001
9.537500e+000	1.715137e+001
9.550488e+000	1.715742e+001
9.564707e+000	1.716094e+001
